"var1.names","var2.names","int.mean","int.min","int.q25","int.med","int.q75","int.max"
"Mammal Biodiversity","Regularly Flooded Veg.",0.186067415730337,0.01,0.05,0.1,0.2,1.89
"Poultry","Evergreen Broadleaf
Trees",0.1525,0.01,0.05,0.1,0.2125,0.77
"Shrubs","Cropland",0.187631578947368,0.02,0.05,0.095,0.2275,0.98
"Evergreen Broadleaf
Trees","Evergreen/Deciduous
Needleleaf Trees",0.207096774193548,0.01,0.05,0.09,0.1975,2.19
"Shrubs","Evergreen Broadleaf
Trees",0.213148148148148,0.01,0.0425,0.09,0.235,1.31
"Urban/Built-up","Deciduous Broadleaf
Trees",0.325135135135135,0.01,0.05,0.09,0.16,7.1
"Livestock Mammal
Headcount","Herbaceous Veg.",0.110967741935484,0,0.045,0.09,0.15,0.4
"Herbaceous Veg.","Evergreen/Deciduous
Needleleaf Trees",0.197241379310345,0.02,0.06,0.08,0.16,1.54
"Regularly Flooded Veg.","Herbaceous Veg.",0.208,0.04,0.06,0.08,0.28,0.74
"Urban/Built-up","Evergreen/Deciduous
Needleleaf Trees",0.178125,0.01,0.05,0.08,0.1425,0.99
"Livestock Mammal
Headcount","Shrubs",0.141621621621622,0,0.04,0.08,0.16,0.82
"Herbaceous Veg.","Population Change",0.155555555555556,0.02,0.04,0.07,0.11,0.61
"Urban/Built-up","Shrubs",0.0844444444444444,0.01,0.0425,0.065,0.105,0.27
NA," ",0,0,0,0,0,0
